Date,Open,High,Low,Close,Volume,Adj Close
2019-08-13,0,0,0,312.2799987792969,0,0
2019-08-14,0,0,0,299.1099853515625,0,0
2019-08-15,0,0,0,295.760009765625,0,0
2019-08-16,0,0,0,302.79998779296875,0,0
2019-08-19,0,0,0,309.3800048828125,0,0
2019-08-20,0,0,0,298.989990234375,0,0
2019-08-21,0,0,0,297.80999755859375,0,0
2019-08-22,0,0,0,296.92999267578125,0,0
2019-08-23,0,0,0,291.44000244140625,0,0
2019-08-26,0,0,0,294.9800109863281,0,0
2019-08-27,0,0,0,291.0299987792969,0,0
2019-08-28,0,0,0,291.7699890136719,0,0
2019-08-29,0,0,0,296.7799987792969,0,0
2019-08-30,0,0,0,293.75,0,0
2019-09-03,0,0,0,289.2900085449219,0,0
2019-09-04,0,0,0,291.5199890136719,0,0
2019-09-05,0,0,0,293.25,0,0
2019-09-06,0,0,0,290.1700134277344,0,0
2019-09-09,0,0,0,294.3399963378906,0,0
2019-09-10,0,0,0,287.989990234375,0,0
2019-09-11,0,0,0,288.2699890136719,0,0
2019-09-12,0,0,0,288.8599853515625,0,0
2019-09-13,0,0,0,294.1499938964844,0,0
2019-09-16,0,0,0,294.2900085449219,0,0
2019-09-17,0,0,0,298.6000061035156,0,0
2019-09-18,0,0,0,291.55999755859375,0,0
2019-09-19,0,0,0,286.6000061035156,0,0
2019-09-20,0,0,0,270.75,0,0
2019-09-23,0,0,0,265.9200134277344,0,0
2019-09-24,0,0,0,254.58999633789062,0,0
2019-09-25,0,0,0,264.75,0,0
2019-09-26,0,0,0,263.30999755859375,0,0
2019-09-27,0,0,0,263.0799865722656,0,0
2019-09-30,0,0,0,267.6199951171875,0,0
2019-10-01,0,0,0,269.5799865722656,0,0
2019-10-02,0,0,0,268.0299987792969,0,0
2019-10-03,0,0,0,268.1499938964844,0,0
2019-10-04,0,0,0,272.7900085449219,0,0
2019-10-07,0,0,0,274.4599914550781,0,0
2019-10-08,0,0,0,270.7200012207031,0,0
2019-10-09,0,0,0,267.5299987792969,0,0
2019-10-10,0,0,0,280.4800109863281,0,0
2019-10-11,0,0,0,282.92999267578125,0,0
2019-10-14,0,0,0,285.5299987792969,0,0
2019-10-15,0,0,0,284.25,0,0
2019-10-16,0,0,0,286.2799987792969,0,0
2019-10-17,0,0,0,293.3500061035156,0,0
2019-10-18,0,0,0,275.29998779296875,0,0
2019-10-21,0,0,0,278.04998779296875,0,0
2019-10-22,0,0,0,266.69000244140625,0,0
2019-10-23,0,0,0,271.2699890136719,0,0
2019-10-24,0,0,0,271.5,0,0
2019-10-25,0,0,0,276.82000732421875,0,0
2019-10-28,0,0,0,281.8599853515625,0,0
2019-10-29,0,0,0,281.2099914550781,0,0
2019-10-30,0,0,0,291.45001220703125,0,0
2019-10-31,0,0,0,287.4100036621094,0,0
2019-11-01,0,0,0,286.80999755859375,0,0
2019-11-04,0,0,0,292.8599853515625,0,0
2019-11-05,0,0,0,288.0299987792969,0,0
2019-11-06,0,0,0,288.5899963378906,0,0
2019-11-07,0,0,0,289.57000732421875,0,0
2019-11-08,0,0,0,291.57000732421875,0,0
2019-11-11,0,0,0,294.17999267578125,0,0
2019-11-12,0,0,0,292.010009765625,0,0
2019-11-13,0,0,0,283.1099853515625,0,0
2019-11-14,0,0,0,289.6199951171875,0,0
2019-11-15,0,0,0,295.0299987792969,0,0
2019-11-18,0,0,0,302.57000732421875,0,0
2019-11-19,0,0,0,302.6000061035156,0,0
2019-11-20,0,0,0,305.1600036621094,0,0
2019-11-21,0,0,0,311.69000244140625,0,0
2019-11-22,0,0,0,310.4800109863281,0,0
2019-11-25,0,0,0,315.54998779296875,0,0
2019-11-26,0,0,0,312.489990234375,0,0
2019-11-27,0,0,0,315.92999267578125,0,0
2019-11-29,0,0,0,314.6600036621094,0,0
2019-12-02,0,0,0,309.989990234375,0,0
2019-12-03,0,0,0,306.1600036621094,0,0
2019-12-04,0,0,0,304.32000732421875,0,0
2019-12-05,0,0,0,302.8599853515625,0,0
2019-12-06,0,0,0,307.3500061035156,0,0
2019-12-09,0,0,0,302.5,0,0
2019-12-10,0,0,0,293.1199951171875,0,0
2019-12-11,0,0,0,298.92999267578125,0,0
2019-12-12,0,0,0,298.44000244140625,0,0
2019-12-13,0,0,0,298.5,0,0
2019-12-16,0,0,0,304.2099914550781,0,0
2019-12-17,0,0,0,315.4800109863281,0,0
2019-12-18,0,0,0,320.79998779296875,0,0
2019-12-19,0,0,0,332.2200012207031,0,0
2019-12-20,0,0,0,336.8999938964844,0,0
2019-12-23,0,0,0,333.1000061035156,0,0
2019-12-24,0,0,0,333.20001220703125,0,0
2019-12-26,0,0,0,332.6300048828125,0,0
2019-12-27,0,0,0,329.0899963378906,0,0
2019-12-30,0,0,0,323.30999755859375,0,0
2019-12-31,0,0,0,323.57000732421875,0,0
2020-01-02,0,0,0,329.80999755859375,0,0
2020-01-03,0,0,0,325.8999938964844,0,0
2020-01-06,0,0,0,335.8299865722656,0,0
2020-01-07,0,0,0,330.75,0,0
2020-01-08,0,0,0,339.260009765625,0,0
2020-01-09,0,0,0,335.6600036621094,0,0
2020-01-10,0,0,0,329.04998779296875,0,0
2020-01-13,0,0,0,338.9200134277344,0,0
2020-01-14,0,0,0,338.69000244140625,0,0
2020-01-15,0,0,0,339.07000732421875,0,0
2020-01-16,0,0,0,338.6199951171875,0,0
2020-01-17,0,0,0,339.6700134277344,0,0
2020-01-21,0,0,0,338.1099853515625,0,0
2020-01-22,0,0,0,326.0,0,0
2020-01-23,0,0,0,349.6000061035156,0,0
2020-01-24,0,0,0,353.1600036621094,0,0
2020-01-27,0,0,0,342.8800048828125,0,0
2020-01-28,0,0,0,348.5199890136719,0,0
2020-01-29,0,0,0,343.1600036621094,0,0
2020-01-30,0,0,0,347.739990234375,0,0
2020-01-31,0,0,0,345.0899963378906,0,0
2020-02-03,0,0,0,358.0,0,0
2020-02-04,0,0,0,369.010009765625,0,0
2020-02-05,0,0,0,369.6700134277344,0,0
2020-02-06,0,0,0,366.95001220703125,0,0
2020-02-07,0,0,0,366.7699890136719,0,0
2020-02-10,0,0,0,371.07000732421875,0,0
2020-02-11,0,0,0,373.69000244140625,0,0
2020-02-12,0,0,0,380.010009765625,0,0
2020-02-13,0,0,0,381.3999938964844,0,0
2020-02-14,0,0,0,380.3999938964844,0,0
2020-02-18,0,0,0,387.7799987792969,0,0
2020-02-19,0,0,0,386.19000244140625,0,0
2020-02-20,0,0,0,386.0,0,0
2020-02-21,0,0,0,380.07000732421875,0,0
2020-02-24,0,0,0,368.70001220703125,0,0
2020-02-25,0,0,0,360.0899963378906,0,0
2020-02-26,0,0,0,379.239990234375,0,0
2020-02-27,0,0,0,371.7099914550781,0,0
2020-02-28,0,0,0,369.0299987792969,0,0
2020-03-02,0,0,0,381.04998779296875,0,0
2020-03-03,0,0,0,368.7699890136719,0,0
2020-03-04,0,0,0,383.7900085449219,0,0
2020-03-05,0,0,0,372.7799987792969,0,0
2020-03-06,0,0,0,368.9700012207031,0,0
2020-03-09,0,0,0,346.489990234375,0,0
2020-03-10,0,0,0,364.1300048828125,0,0
2020-03-11,0,0,0,349.9200134277344,0,0
2020-03-12,0,0,0,315.25,0,0
2020-03-13,0,0,0,336.29998779296875,0,0
2020-03-16,0,0,0,298.8399963378906,0,0
2020-03-17,0,0,0,319.75,0,0
2020-03-18,0,0,0,315.4700012207031,0,0
2020-03-19,0,0,0,332.0299987792969,0,0
2020-03-20,0,0,0,332.8299865722656,0,0
2020-03-23,0,0,0,360.2699890136719,0,0
2020-03-24,0,0,0,357.32000732421875,0,0
2020-03-25,0,0,0,342.3900146484375,0,0
2020-03-26,0,0,0,362.989990234375,0,0
2020-03-27,0,0,0,357.1199951171875,0,0
2020-03-30,0,0,0,370.9599914550781,0,0
2020-03-31,0,0,0,375.5,0,0
2020-04-01,0,0,0,364.0799865722656,0,0
2020-04-02,0,0,0,370.0799865722656,0,0
2020-04-03,0,0,0,361.760009765625,0,0
2020-04-06,0,0,0,379.9599914550781,0,0
2020-04-07,0,0,0,372.2799987792969,0,0
2020-04-08,0,0,0,371.1199951171875,0,0
2020-04-09,0,0,0,370.7200012207031,0,0
2020-04-13,0,0,0,396.7200012207031,0,0
2020-04-14,0,0,0,413.54998779296875,0,0
2020-04-15,0,0,0,426.75,0,0
2020-04-16,0,0,0,439.1700134277344,0,0
2020-04-17,0,0,0,422.9599914550781,0,0
2020-04-20,0,0,0,437.489990234375,0,0
2020-04-21,0,0,0,433.8299865722656,0,0
2020-04-22,0,0,0,421.4200134277344,0,0
2020-04-23,0,0,0,426.70001220703125,0,0
2020-04-24,0,0,0,424.989990234375,0,0
2020-04-27,0,0,0,421.3800048828125,0,0
2020-04-28,0,0,0,403.8299865722656,0,0
2020-04-29,0,0,0,411.8900146484375,0,0
2020-04-30,0,0,0,419.8500061035156,0,0
2020-05-01,0,0,0,415.2699890136719,0,0
2020-05-04,0,0,0,428.1499938964844,0,0
2020-05-05,0,0,0,424.67999267578125,0,0
2020-05-06,0,0,0,434.260009765625,0,0
2020-05-07,0,0,0,436.5299987792969,0,0
2020-05-08,0,0,0,435.54998779296875,0,0
2020-05-11,0,0,0,440.5199890136719,0,0
2020-05-12,0,0,0,431.82000732421875,0,0
2020-05-13,0,0,0,438.2699890136719,0,0
2020-05-14,0,0,0,441.95001220703125,0,0
2020-05-15,0,0,0,454.19000244140625,0,0
2020-05-18,0,0,0,452.5799865722656,0,0
2020-05-19,0,0,0,451.0400085449219,0,0
2020-05-20,0,0,0,447.6700134277344,0,0
2020-05-21,0,0,0,436.25,0,0
2020-05-22,0,0,0,429.32000732421875,0,0
2020-05-26,0,0,0,414.7699890136719,0,0
2020-05-27,0,0,0,419.8900146484375,0,0
2020-05-28,0,0,0,413.44000244140625,0,0
2020-05-29,0,0,0,419.7300109863281,0,0
2020-06-01,0,0,0,425.9200134277344,0,0
2020-06-02,0,0,0,427.30999755859375,0,0
2020-06-03,0,0,0,421.9700012207031,0,0
2020-06-04,0,0,0,414.3299865722656,0,0
2020-06-05,0,0,0,419.6000061035156,0,0
2020-06-08,0,0,0,419.489990234375,0,0
2020-06-09,0,0,0,434.04998779296875,0,0
2020-06-10,0,0,0,434.4800109863281,0,0
2020-06-11,0,0,0,425.55999755859375,0,0
2020-06-12,0,0,0,418.07000732421875,0,0
2020-06-15,0,0,0,425.5,0,0
2020-06-16,0,0,0,436.1300048828125,0,0
2020-06-17,0,0,0,447.7699890136719,0,0
2020-06-18,0,0,0,449.8699951171875,0,0
2020-06-19,0,0,0,453.7200012207031,0,0
2020-06-22,0,0,0,468.0400085449219,0,0
2020-06-23,0,0,0,466.260009765625,0,0
2020-06-24,0,0,0,457.8500061035156,0,0
2020-06-25,0,0,0,465.9100036621094,0,0
2020-06-26,0,0,0,443.3999938964844,0,0
2020-06-29,0,0,0,447.239990234375,0,0
2020-06-30,0,0,0,455.0400085449219,0,0
2020-07-01,0,0,0,485.6400146484375,0,0
2020-07-02,0,0,0,476.8900146484375,0,0
2020-07-06,0,0,0,493.80999755859375,0,0
2020-07-07,0,0,0,493.1600036621094,0,0
2020-07-08,0,0,0,502.7799987792969,0,0
2020-07-09,0,0,0,507.760009765625,0,0
2020-07-10,0,0,0,548.72998046875,0,0
